name,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,Kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM FacilitiesS Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
AB2,0.918,0.779,0.788,0.631,0.229,1.037,1.246,1.072,0.648,0.577,0.495,1.481,1.226,0.711,0.501,0.344,0.334,0.367,0.292,1.158,0.442,0.157,0.108,0.679,1.089,0.91,1.015,1.04,0.713,0.821,1.407,0.275,0.701,0.583,0.538,0.415,0.627,0.532,0.603,0.841,0.561,1.33,1.278,1.172,1.211,1.16,1.106,1.135,1.159,1.083,1.087,1.009,1.027,0.985,1.126,1.127,1.11,1.505,1.233,1.198,1.08,1.026,1.036,0.67,0.547,0.336,0.234,0.027,0.063,0,0.068,0.314,0.193,0.457,0.252,1.177,0.333,1.097,0.775
Kafeteria Kolej Anggerik,0.973,0.842,0.846,0.688,0.277,1.098,1.313,1.136,0.716,0.645,0.563,1.543,1.288,0.776,0.56,0.4,0.356,0.398,0.226,1.225,0.499,0.09,0.075,0.746,1.146,0.977,1.082,1.107,0.755,0.867,1.473,0.342,0.765,0.651,0.602,0.479,0.693,0.598,0.668,0.908,0.605,1.394,1.342,1.236,1.276,1.225,1.171,1.198,1.222,1.146,1.149,1.073,1.09,1.05,1.192,1.192,1.176,1.565,1.293,1.256,1.139,1.084,1.091,0.726,0.597,0.353,0.179,0.07,0.025,0.068,0,0.289,0.179,0.519,0.283,1.242,0.275,1.164,0.832
Mamakteria Cafe,0.925,0.859,0.824,0.673,0.312,1.299,1.448,1.325,0.859,0.759,0.69,1.742,1.485,0.844,0.58,0.424,0.232,0.299,0.272,1.318,0.51,0.268,0.215,0.844,1.374,1.117,1.192,1.212,0.646,0.769,1.627,0.528,0.957,0.779,0.661,0.547,0.769,0.685,0.729,1.001,0.515,1.577,1.524,1.421,1.448,1.399,1.349,1.392,1.419,1.343,1.35,1.264,1.281,1.229,1.353,1.357,1.345,1.772,1.503,1.476,1.357,1.307,1.325,0.963,0.851,0.641,0.402,0.289,0.269,0.314,0.289,0,0.123,0.573,0.565,1.406,0.189,1.305,1.063
Pusat Kesihatan UiTM Shah Alam,0.891,0.797,0.777,0.62,0.221,1.185,1.35,1.213,0.755,0.663,0.589,1.628,1.372,0.763,0.511,0.347,0.211,0.27,0.253,1.233,0.442,0.188,0.105,0.754,1.254,1.017,1.101,1.123,0.636,0.756,1.525,0.411,0.843,0.679,0.58,0.46,0.685,0.595,0.649,0.914,0.492,1.467,1.415,1.31,1.341,1.291,1.239,1.279,1.305,1.229,1.235,1.151,1.169,1.119,1.248,1.251,1.238,1.657,1.387,1.358,1.239,1.188,1.205,0.841,0.728,0.526,0.325,0.167,0.156,0.193,0.179,0.123,0,0.492,0.445,1.3,0.221,1.205,0.942
Non Resident Office,0.483,0.323,0.345,0.2,0.271,0.807,0.883,0.813,0.327,0.21,0.177,1.227,0.977,0.272,0.07,0.149,0.366,0.313,0.72,0.745,0.089,0.601,0.508,0.275,0.926,0.563,0.621,0.64,0.386,0.449,1.071,0.272,0.485,0.243,0.089,0.044,0.196,0.12,0.157,0.429,0.276,1.047,0.996,0.9,0.911,0.867,0.821,0.883,0.913,0.841,0.854,0.759,0.774,0.709,0.807,0.816,0.809,1.27,1.014,1.005,0.891,0.855,0.896,0.592,0.566,0.635,0.689,0.449,0.502,0.457,0.519,0.573,0.492,0,0.534,0.861,0.712,0.746,0.659
Security Office,1.017,0.835,0.877,0.733,0.415,0.877,1.153,0.926,0.588,0.562,0.482,1.315,1.066,0.726,0.597,0.484,0.56,0.575,0.47,1.112,0.56,0.347,0.352,0.667,0.897,0.828,0.959,0.988,0.874,0.965,1.289,0.264,0.572,0.551,0.591,0.491,0.646,0.557,0.641,0.815,0.728,1.183,1.133,1.026,1.079,1.026,0.971,0.981,1.001,0.927,0.926,0.862,0.88,0.854,1.009,1.005,0.984,1.328,1.058,1.013,0.9,0.841,0.838,0.48,0.337,0.105,0.31,0.278,0.298,0.252,0.283,0.565,0.445,0.534,0,1.055,0.548,1.004,0.587
Register Office,0.921,0.742,0.855,0.89,1.095,0.246,0.168,0.171,0.548,0.654,0.716,0.394,0.212,0.64,0.889,1.002,1.223,1.173,1.468,0.36,0.946,1.332,1.272,0.594,0.398,0.3,0.32,0.331,1.111,1.079,0.234,0.903,0.484,0.629,0.787,0.874,0.682,0.741,0.733,0.481,1.086,0.2,0.156,0.127,0.062,0.067,0.104,0.179,0.197,0.208,0.229,0.219,0.205,0.203,0.054,0.05,0.072,0.455,0.297,0.353,0.334,0.373,0.445,0.612,0.757,1.095,1.352,1.186,1.239,1.177,1.242,1.406,1.3,0.861,1.055,0,1.501,0.148,0.525
Pos Polis Bantuan,1.102,1.017,0.994,0.838,0.441,1.369,1.56,1.403,0.962,0.876,0.799,1.814,1.558,0.983,0.732,0.567,0.409,0.474,0.112,1.451,0.663,0.201,0.23,0.97,1.421,1.225,1.316,1.339,0.831,0.954,1.729,0.6,1.032,0.889,0.8,0.679,0.904,0.813,0.869,1.131,0.695,1.66,1.608,1.502,1.538,1.488,1.435,1.467,1.491,1.415,1.419,1.34,1.358,1.314,1.45,1.452,1.437,1.837,1.565,1.53,1.413,1.359,1.366,1.001,0.872,0.598,0.294,0.318,0.271,0.333,0.275,0.189,0.221,0.712,0.548,1.501,0,1.414,1.106
Stor Sukan,0.774,0.599,0.711,0.756,0.993,0.318,0.15,0.251,0.451,0.546,0.617,0.541,0.35,0.508,0.766,0.891,1.112,1.058,1.39,0.232,0.827,1.254,1.187,0.473,0.493,0.188,0.173,0.183,0.972,0.935,0.326,0.823,0.437,0.527,0.667,0.764,0.558,0.627,0.608,0.344,0.956,0.346,0.304,0.258,0.21,0.196,0.195,0.293,0.319,0.299,0.323,0.266,0.26,0.212,0.108,0.131,0.15,0.603,0.43,0.475,0.427,0.45,0.525,0.601,0.735,1.056,1.288,1.104,1.158,1.097,1.164,1.305,1.205,0.746,1.004,0.148,1.414,0,0.534
Institut Pengajian Siswazah,0.987,0.761,0.863,0.801,0.785,0.304,0.665,0.367,0.387,0.486,0.483,0.729,0.486,0.609,0.72,0.746,0.945,0.918,1.046,0.728,0.743,0.913,0.882,0.521,0.315,0.429,0.584,0.616,1.028,1.056,0.749,0.538,0.201,0.446,0.633,0.644,0.581,0.568,0.621,0.561,0.935,0.612,0.566,0.462,0.531,0.479,0.425,0.409,0.424,0.355,0.349,0.309,0.325,0.331,0.493,0.48,0.454,0.741,0.471,0.427,0.312,0.255,0.262,0.107,0.254,0.6,0.897,0.793,0.836,0.775,0.832,1.063,0.942,0.659,0.587,0.525,1.106,0.534,0
