name,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,Kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM FacilitiesS Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Dataran Cendekiawan,0.477,0.355,0.347,0.189,0.229,0.896,0.961,0.901,0.415,0.298,0.265,1.315,1.065,0.338,0.07,0.1,0.291,0.232,0.683,0.812,0,0.573,0.476,0.355,1.015,0.647,0.695,0.712,0.323,0.405,1.153,0.312,0.573,0.331,0.161,0.101,0.271,0.207,0.225,0.501,0.197,1.133,1.082,0.987,0.996,0.953,0.909,0.971,1.001,0.93,0.943,0.847,0.862,0.797,0.892,0.901,0.895,1.358,1.102,1.094,0.98,0.943,0.984,0.673,0.635,0.664,0.675,0.43,0.479,0.442,0.499,0.51,0.442,0.089,0.56,0.946,0.663,0.827,0.743
Kolej Anggerik,1.043,0.921,0.92,0.761,0.346,1.185,1.403,1.223,0.805,0.733,0.651,1.629,1.374,0.862,0.637,0.474,0.393,0.445,0.137,1.314,0.573,0,0.101,0.834,1.228,1.067,1.171,1.196,0.81,0.926,1.563,0.432,0.854,0.74,0.686,0.561,0.779,0.684,0.752,0.996,0.661,1.482,1.43,1.323,1.365,1.313,1.259,1.285,1.308,1.232,1.235,1.16,1.178,1.139,1.281,1.281,1.265,1.649,1.377,1.339,1.223,1.167,1.172,0.807,0.674,0.399,0.138,0.155,0.1,0.157,0.09,0.268,0.188,0.601,0.347,1.332,0.201,1.254,0.913
Makmal Fakulti Kejuruteraan Kimia,0.943,0.827,0.821,0.662,0.247,1.139,1.334,1.173,0.736,0.655,0.575,1.584,1.328,0.774,0.541,0.376,0.296,0.345,0.212,1.234,0.476,0.101,0,0.753,1.196,0.999,1.095,1.119,0.709,0.824,1.501,0.37,0.802,0.665,0.595,0.471,0.692,0.599,0.662,0.915,0.56,1.43,1.378,1.272,1.308,1.257,1.204,1.237,1.262,1.185,1.19,1.11,1.128,1.084,1.22,1.222,1.207,1.609,1.337,1.303,1.186,1.132,1.143,0.778,0.655,0.426,0.23,0.089,0.055,0.108,0.075,0.215,0.105,0.508,0.352,1.272,0.23,1.187,0.882
Kompleks Kolam Renang UiTM Shah Alam,0.466,0.24,0.342,0.312,0.534,0.579,0.608,0.569,0.137,0.106,0.189,0.973,0.731,0.088,0.295,0.423,0.641,0.586,0.964,0.481,0.355,0.834,0.753,0,0.725,0.295,0.348,0.369,0.544,0.547,0.798,0.423,0.32,0.12,0.194,0.297,0.088,0.159,0.139,0.162,0.496,0.786,0.736,0.647,0.647,0.607,0.566,0.64,0.671,0.605,0.621,0.523,0.536,0.464,0.541,0.552,0.548,1.021,0.779,0.784,0.679,0.655,0.711,0.497,0.544,0.751,0.897,0.679,0.734,0.679,0.746,0.844,0.754,0.275,0.667,0.594,0.97,0.473,0.521
Fakulti Undang-Undang,1.161,0.945,1.057,1.033,1.087,0.178,0.565,0.242,0.611,0.728,0.75,0.439,0.242,0.803,0.978,1.034,1.242,1.21,1.36,0.724,1.015,1.228,1.196,0.725,0,0.504,0.624,0.649,1.266,1.271,0.56,0.846,0.442,0.69,0.881,0.92,0.804,0.819,0.852,0.696,1.195,0.378,0.348,0.279,0.365,0.332,0.304,0.22,0.21,0.195,0.171,0.239,0.238,0.308,0.399,0.376,0.35,0.437,0.186,0.121,0.065,0.072,0.068,0.421,0.561,0.9,1.207,1.107,1.151,1.089,1.146,1.374,1.254,0.926,0.897,0.398,1.421,0.493,0.315
Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,0.666,0.463,0.578,0.595,0.806,0.331,0.336,0.298,0.263,0.36,0.428,0.682,0.45,0.345,0.589,0.706,0.927,0.876,1.202,0.307,0.647,1.067,0.999,0.295,0.504,0,0.156,0.188,0.821,0.801,0.51,0.636,0.28,0.339,0.487,0.578,0.382,0.443,0.433,0.201,0.788,0.493,0.443,0.361,0.353,0.315,0.28,0.365,0.396,0.342,0.362,0.27,0.276,0.2,0.246,0.257,0.255,0.735,0.51,0.531,0.445,0.442,0.512,0.469,0.585,0.887,1.105,0.917,0.971,0.91,0.977,1.117,1.017,0.563,0.828,0.3,1.225,0.188,0.429
Parking Canseleri,0.601,0.434,0.543,0.602,0.882,0.446,0.272,0.393,0.373,0.44,0.52,0.713,0.516,0.361,0.63,0.77,0.986,0.928,1.304,0.155,0.695,1.171,1.095,0.348,0.624,0.156,0,0.032,0.809,0.766,0.475,0.746,0.432,0.432,0.536,0.645,0.425,0.507,0.471,0.195,0.805,0.518,0.477,0.423,0.383,0.364,0.351,0.448,0.476,0.441,0.464,0.385,0.386,0.317,0.277,0.298,0.31,0.776,0.591,0.627,0.561,0.57,0.643,0.624,0.736,1.025,1.222,1.018,1.073,1.015,1.082,1.192,1.101,0.621,0.959,0.32,1.316,0.173,0.584
Canseleri Tuanku Syed Sirajuddin,0.595,0.438,0.545,0.611,0.903,0.47,0.265,0.415,0.401,0.464,0.545,0.72,0.531,0.376,0.646,0.789,1.003,0.944,1.328,0.124,0.712,1.196,1.119,0.369,0.649,0.188,0.032,0,0.814,0.765,0.47,0.772,0.464,0.457,0.553,0.665,0.444,0.528,0.488,0.211,0.815,0.526,0.486,0.439,0.393,0.378,0.369,0.467,0.495,0.463,0.487,0.411,0.411,0.344,0.29,0.312,0.327,0.785,0.609,0.648,0.585,0.596,0.67,0.657,0.768,1.056,1.249,1.042,1.097,1.04,1.107,1.212,1.123,0.64,0.988,0.331,1.339,0.183,0.616
Kompleks Kejuruteraan Elektrikal,0.311,0.376,0.275,0.233,0.484,1.123,1.079,1.11,0.657,0.545,0.55,1.502,1.269,0.477,0.317,0.39,0.427,0.366,0.889,0.877,0.323,0.81,0.709,0.544,1.266,0.821,0.809,0.814,0,0.124,1.283,0.634,0.838,0.584,0.395,0.417,0.462,0.46,0.415,0.63,0.151,1.31,1.262,1.181,1.169,1.135,1.101,1.18,1.211,1.148,1.165,1.067,1.079,1.006,1.06,1.075,1.076,1.556,1.322,1.328,1.222,1.195,1.246,0.972,0.951,0.979,0.934,0.693,0.731,0.713,0.755,0.646,0.636,0.386,0.874,1.111,0.831,0.972,1.028
Fakulti Kejuruteraan Kimia,0.207,0.338,0.224,0.26,0.592,1.118,1.029,1.097,0.673,0.571,0.593,1.473,1.25,0.468,0.379,0.486,0.547,0.486,1.009,0.814,0.405,0.926,0.824,0.547,1.271,0.801,0.766,0.765,0.124,0,1.235,0.714,0.859,0.611,0.435,0.487,0.476,0.498,0.435,0.602,0.264,1.278,1.233,1.16,1.139,1.11,1.08,1.165,1.196,1.137,1.156,1.059,1.069,0.994,1.029,1.046,1.051,1.531,1.31,1.323,1.222,1.201,1.258,1.011,1.008,1.069,1.046,0.803,0.844,0.821,0.867,0.769,0.756,0.449,0.965,1.079,0.954,0.935,1.056
